"Country","Agriculture, forestry, and fishing, value added (% of GDP)","Rank","Year"
"Lesotho","83.78","1","1963"
"Niger (the)","72.94","2","1963"
"Somalia","64.03","3","1963"
"Bangladesh","57.14","4","1963"
"Turkey","53.32","5","1963"
"Togo","51.85","6","1963"
"Malawi","49.22","7","1963"
"Uganda","47.51","8","1963"
"Sudan (the)","44.84","9","1963"
"Côte d'Ivoire","44.16","10","1963"
"Gabon","44.08","11","1963"
"Papua New Guinea","44.03","12","1963"
"Benin","43.71","13","1963"
"Korea (the Republic of)","43.1","14","1963"
"China","39.85","15","1963"
"Botswana","39.72","16","1963"
"India","39.31","17","1963"
"Pakistan","38.83","18","1963"
"Eswatini","38.79","19","1963"
"Burkina Faso","38.49","20","1963"
"Kenya","38.44","21","1963"
"Paraguay","38.19","22","1963"
"Chad","38.02","23","1963"
"Fiji","37.84","24","1963"
"Ghana","35.9","25","1963"
"Malaysia","35.12","26","1963"
"Honduras","34.41","27","1963"
"Ecuador","34.19","28","1963"
"Mauritania","33.07","29","1963"
"Thailand","33.06","30","1963"
"Sri Lanka","32.34","31","1963"
"Philippines (the)","27.41","32","1963"
"Costa Rica","24.46","33","1963"
"Guyana","24.46","34","1963"
"Egypt","24.42","35","1963"
"Iran (Islamic Republic of)","22.25","36","1963"
"Senegal","22.12","37","1963"
"Congo (the)","20.95","38","1963"
"Peru","17.08","39","1963"
"Brazil","15.12","40","1963"
"Zambia","13.01","41","1963"
"South Africa","10.38","42","1963"
"France","8.82","43","1963"
"Suriname","8.77","44","1963"
"Chile","7.93","45","1963"
"Singapore","3.25","46","1963"
"Denmark","null","47","1963"
"Iceland","null","48","1963"
"Norway","null","49","1963"
"Sweden","null","50","1963"
"Finland","null","51","1963"
"Estonia","null","52","1963"
"Latvia","null","53","1963"
"Lithuania","null","54","1963"
"Germany","null","55","1963"
"Austria","null","56","1963"
"Bulgaria","null","57","1963"
"Hungary","null","58","1963"
"Liechtenstein","null","59","1963"
"Romania","null","60","1963"
"Czechia","null","61","1963"
"Slovakia","null","62","1963"
"Bosnia and Herzegovina","null","63","1963"
"Croatia","null","64","1963"
"Montenegro","null","65","1963"
"Serbia","null","66","1963"
"Poland","null","67","1963"
"Russian Federation (the)","null","68","1963"
"Albania","null","69","1963"
"Greece","null","70","1963"
"Italy","null","71","1963"
"San Marino","null","72","1963"
"Holy See (the)","null","73","1963"
"Andorra","null","74","1963"
"Belgium","null","75","1963"
"United Kingdom","null","76","1963"
"Spain","null","77","1963"
"Netherlands (the)","null","78","1963"
"Ireland","null","79","1963"
"Luxembourg","null","80","1963"
"Monaco","null","81","1963"
"Portugal","null","82","1963"
"Switzerland","null","83","1963"
"Malta","null","84","1963"
"Slovenia","null","85","1963"
"Belarus","null","86","1963"
"Moldova (the Republic of)","null","87","1963"
"Ukraine","null","88","1963"
"North Macedonia","null","89","1963"
"Saudi Arabia","null","90","1963"
"Iraq","null","91","1963"
"Lebanon","null","92","1963"
"Syrian Arab Republic (the)","null","93","1963"
"Israel","null","94","1963"
"Afghanistan","null","95","1963"
"Bhutan","null","96","1963"
"Nepal","null","97","1963"
"Japan","null","98","1963"
"Jordan","null","99","1963"
"Myanmar","null","100","1963"
"Brunei Darussalam","null","101","1963"
"Maldives","null","102","1963"
"Indonesia","null","103","1963"
"Cambodia","null","104","1963"
"Taiwan","null","105","1963"
"Korea (the Democratic People's Republic of)","null","106","1963"
"Kuwait","null","107","1963"
"Lao People's Democratic Republic (the)","null","108","1963"
"Mongolia","null","109","1963"
"Viet Nam","null","110","1963"
"United Arab Emirates (the)","null","111","1963"
"Qatar","null","112","1963"
"Bahrain","null","113","1963"
"Oman","null","114","1963"
"Yemen","null","115","1963"
"Armenia","null","116","1963"
"Azerbaijan","null","117","1963"
